city,date,weekday,hour,concat,SeasonalNaive,HoltWinters,Arima,TBATS
LIM,2021-01-17,Sunday,13,LIM4421313,3243,3157,2934,2679
LIM,2021-01-17,Sunday,14,LIM4421314,2750,2677,2488,2272
LIM,2021-01-17,Sunday,15,LIM4421315,1870,1821,1692,1545
LIM,2021-01-17,Sunday,16,LIM4421316,1359,1323,1229,1123
LIM,2021-01-17,Sunday,17,LIM4421317,1237,1205,1119,1022
LIM,2021-01-17,Sunday,18,LIM4421318,1541,1500,1394,1273
LIM,2021-01-17,Sunday,19,LIM4421319,2320,2259,2099,1917
LIM,2021-01-17,Sunday,20,LIM4421320,2165,2108,1959,1789
LIM,2021-01-17,Sunday,21,LIM4421321,1235,1202,1117,1020
LIM,2021-01-17,Sunday,22,LIM4421322,393,382,355,325
LIM,2021-01-17,Sunday,23,LIM4421323,59,57,53,49
LIM,2021-01-18,Monday,0,LIM442140,0,0,0,0
LIM,2021-01-18,Monday,1,LIM442141,0,0,0,0
LIM,2021-01-18,Monday,2,LIM442142,0,0,0,0
LIM,2021-01-18,Monday,3,LIM442143,0,0,0,0
LIM,2021-01-18,Monday,4,LIM442144,0,0,0,0
LIM,2021-01-18,Monday,5,LIM442145,0,0,0,0
LIM,2021-01-18,Monday,6,LIM442146,0,0,0,0
LIM,2021-01-18,Monday,7,LIM442147,129,132,128,121
LIM,2021-01-18,Monday,8,LIM442148,386,397,383,364
LIM,2021-01-18,Monday,9,LIM442149,696,715,691,655
LIM,2021-01-18,Monday,10,LIM4421410,885,909,878,834
LIM,2021-01-18,Monday,11,LIM4421411,1177,1210,1169,1109
LIM,2021-01-18,Monday,12,LIM4421412,2202,2264,2187,2075
LIM,2021-01-18,Monday,13,LIM4421413,2285,2349,2269,2153
LIM,2021-01-18,Monday,14,LIM4421414,1766,1816,1754,1665
LIM,2021-01-18,Monday,15,LIM4421415,1496,1538,1486,1410
LIM,2021-01-18,Monday,16,LIM4421416,1370,1408,1360,1291
LIM,2021-01-18,Monday,17,LIM4421417,1280,1316,1271,1206
LIM,2021-01-18,Monday,18,LIM4421418,1453,1494,1443,1369
LIM,2021-01-18,Monday,19,LIM4421419,2064,2122,2050,1945
LIM,2021-01-18,Monday,20,LIM4421420,2111,2171,2097,1990
LIM,2021-01-18,Monday,21,LIM4421421,1423,1463,1413,1341
LIM,2021-01-18,Monday,22,LIM4421422,494,508,491,466
LIM,2021-01-18,Monday,23,LIM4421423,63,65,63,60
LIM,2021-01-19,Tuesday,0,LIM442150,0,0,0,0
LIM,2021-01-19,Tuesday,1,LIM442151,0,0,0,0
LIM,2021-01-19,Tuesday,2,LIM442152,0,0,0,0
LIM,2021-01-19,Tuesday,3,LIM442153,0,0,0,0
LIM,2021-01-19,Tuesday,4,LIM442154,0,0,0,0
LIM,2021-01-19,Tuesday,5,LIM442155,0,0,0,0
LIM,2021-01-19,Tuesday,6,LIM442156,0,0,0,0
LIM,2021-01-19,Tuesday,7,LIM442157,118,122,121,107
LIM,2021-01-19,Tuesday,8,LIM442158,384,396,393,347
LIM,2021-01-19,Tuesday,9,LIM442159,689,711,706,623
LIM,2021-01-19,Tuesday,10,LIM4421510,837,865,858,758
LIM,2021-01-19,Tuesday,11,LIM4421511,1079,1114,1106,977
LIM,2021-01-19,Tuesday,12,LIM4421512,2049,2116,2100,1855
LIM,2021-01-19,Tuesday,13,LIM4421513,2219,2291,2275,2009
LIM,2021-01-19,Tuesday,14,LIM4421514,1772,1830,1817,1605
LIM,2021-01-19,Tuesday,15,LIM4421515,1425,1471,1460,1290
LIM,2021-01-19,Tuesday,16,LIM4421516,1280,1321,1312,1159
LIM,2021-01-19,Tuesday,17,LIM4421517,1210,1250,1241,1096
LIM,2021-01-19,Tuesday,18,LIM4421518,1442,1489,1478,1306
LIM,2021-01-19,Tuesday,19,LIM4421519,2130,2200,2183,1929
LIM,2021-01-19,Tuesday,20,LIM4421520,2121,2190,2174,1920
LIM,2021-01-19,Tuesday,21,LIM4421521,1314,1357,1347,1190
